[ 6.0 , -5.0 ] 
[ 1.9470063524212788 , -0.6140819971347282 ] 
[ 2.031526879310586 , -0.6140819971347282 ] 
[ 2.031526879310586 , -0.6140819971347282 ] 
[ 2.031526879310586 , -0.6140819971347282 ] 
[ 2.0312274253295164 , -0.6140819971347282 ] 
[ 2.0312274253295164 , -0.6140819971347282 ] 
[ 1.9370800726926305 , -0.6140819971347282 ] 
[ 1.9370800726926305 , -0.6140819971347282 ] 
[ 1.9362451335374697 , -0.6140819971347282 ] 
[ 1.9389546795473174 , -0.6140819971347282 ] 
[ 1.9863004617000868 , -0.6140819971347282 ] 
[ 1.7422191601752208 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.802319418618858 , -0.6140819971347282 ] 
[ 1.8018182093737807 , -0.6140819971347282 ] 
[ 1.6257271264533184 , -0.6140819971347282 ] 
[ 1.6257271264533184 , -0.6140819971347282 ] 
[ 1.7468502267381742 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.8929908689386137 , -0.6140819971347282 ] 
[ 1.2737301702089312 , -0.6140819971347282 ] 
[ 1.2737301702089312 , -0.6140819971347282 ] 
